Collection,Operation,n,Time_ns
ArrayList,get,1000,30
ArrayList,add_end,1000,5
ArrayList,get,5000,28
ArrayList,add_end,5000,3
ArrayList,get,10000,28
ArrayList,add_end,10000,3
ArrayList,get,50000,19
ArrayList,add_end,50000,3
ArrayList,get,100000,19
ArrayList,add_end,100000,2
ArrayList,get,500000,16
ArrayList,add_end,500000,15
ArrayList,get,1000000,20
ArrayList,add_end,1000000,20
LinkedList,get,1000,689
LinkedList,addFirst,1000,7
LinkedList,get,5000,2875
LinkedList,addFirst,5000,4
LinkedList,get,10000,7453
LinkedList,addFirst,10000,4
LinkedList,get,50000,33640
LinkedList,addFirst,50000,4
LinkedList,get,100000,67800
LinkedList,addFirst,100000,4
LinkedList,get,500000,379947
LinkedList,addFirst,500000,4
LinkedList,get,1000000,809109
LinkedList,addFirst,1000000,3
HashSet,contains,1000,50
HashSet,contains,5000,36
HashSet,contains,10000,64
HashSet,contains,50000,29
HashSet,contains,100000,24
HashSet,contains,500000,32
HashSet,contains,1000000,20
TreeSet,contains,1000,88
TreeSet,contains,5000,84
TreeSet,contains,10000,86
TreeSet,contains,50000,66
TreeSet,contains,100000,69
TreeSet,contains,500000,71
TreeSet,contains,1000000,68
HashMap,get,1000,37
HashMap,get,5000,37
HashMap,get,10000,45
HashMap,get,50000,27
HashMap,get,100000,29
HashMap,get,500000,32
HashMap,get,1000000,19
TreeMap,get,1000,67
TreeMap,get,5000,76
TreeMap,get,10000,79
TreeMap,get,50000,63
TreeMap,get,100000,71
TreeMap,get,500000,73
TreeMap,get,1000000,67
PriorityQueue,offer,1000,4
PriorityQueue,peek,1000,27
PriorityQueue,offer,5000,4
PriorityQueue,peek,5000,27
PriorityQueue,offer,10000,3
PriorityQueue,peek,10000,27
PriorityQueue,offer,50000,3
PriorityQueue,peek,50000,17
PriorityQueue,offer,100000,4
PriorityQueue,peek,100000,17
PriorityQueue,offer,500000,17
PriorityQueue,peek,500000,19
PriorityQueue,offer,1000000,29
PriorityQueue,peek,1000000,27
